2026-03-22 18:07:16.749 [TID: N/A] [main] INFO  c.a.modo.OntologyApplicationDeploy -Starting OntologyApplicationDeploy using Java 1.8.0_212 on DESKTOP-82JST41 with PID 18392 (D:\code-ai\java\dataos-delivery-ontology-repository\ontology_deploy\build\classes\java\main started by 41441 in D:\code-ai\java\dataos-delivery-ontology-repository)
2026-03-22 18:07:16.753 [TID: N/A] [main] DEBUG c.a.modo.OntologyApplicationDeploy -Running with Spring Boot v2.7.18, Spring v5.3.31
2026-03-22 18:07:16.754 [TID: N/A] [main] INFO  c.a.modo.OntologyApplicationDeploy -The following 1 profile is active: "runtime"
2026-03-22 18:07:19.151 [TID: N/A] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-22 18:07:19.151 [TID: N/A] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-22 18:07:25.231 [TID: N/A] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 6070 ms. Found 141 JPA repository interfaces.
2026-03-22 18:07:25.232 [TID: N/A] [main] INFO  o.s.c.annotation.AutoProxyRegistrar -AutoProxyRegistrar was imported but no annotations were found having both 'mode' and 'proxyTargetClass' attributes of type AdviceMode and boolean respectively. This means that auto proxy creator registration and configuration may not have occurred as intended, and components may not be proxied as expected. Check to ensure that AutoProxyRegistrar has been @Import'ed on the same class where these annotations are declared; otherwise remove the import of AutoProxyRegistrar altogether.
2026-03-22 18:07:25.241 [TID: N/A] [main] INFO  o.s.c.annotation.AutoProxyRegistrar -AutoProxyRegistrar was imported but no annotations were found having both 'mode' and 'proxyTargetClass' attributes of type AdviceMode and boolean respectively. This means that auto proxy creator registration and configuration may not have occurred as intended, and components may not be proxied as expected. Check to ensure that AutoProxyRegistrar has been @Import'ed on the same class where these annotations are declared; otherwise remove the import of AutoProxyRegistrar altogether.
2026-03-22 18:07:25.242 [TID: N/A] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-22 18:07:25.242 [TID: N/A] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-22 18:07:25.267 [TID: N/A] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 24 ms. Found 6 JPA repository interfaces.
